OrderId,UserId,Date,Total
1,1,12/22/2014 5:57:19,$68.15
2,1,1/14/2015 6:56:35,$28.51
3,2,12/23/2013 12:50:40,$91.76
4,2,4/27/2013 8:41:09,$23.46
5,3,2/13/2014 18:33:08,$9.26
6,3,10/6/2013 2:07:47,$51.78
7,4,12/9/2014 1:25:38,$18.32
8,4,5/11/2013 16:03:37,$21.24
9,5,9/19/2014 15:17:08,$98.65
10,5,6/20/2014 9:29:33,$20.1
11,6,3/25/2013 1:03:52,$22.82
12,6,1/20/2014 0:59:20,$75.48
13,7,9/27/2014 12:52:10,$52.44
14,7,1/8/2015 3:47:51,$60.46
15,8,10/19/2013 8:53:41,$22.7
16,8,7/29/2014 10:15:40,$60.6
17,9,7/9/2014 7:47:40,$70.42
18,9,2/27/2014 19:49:39,$27.05
19,10,5/23/2014 16:23:46,$32.9
20,10,5/22/2013 5:16:24,$44.23
21,1,7/14/2014 14:44:12,$37.92
22,2,9/25/2013 12:17:35,$18.76
23,3,2/21/2014 9:49:30,$34.4
24,4,5/8/2014 2:34:09,$75.92
25,5,10/28/2014 19:26:35,$69.64
26,6,5/22/2013 0:51:56,$13.3
27,7,2/28/2014 12:10:06,$1.69
28,8,1/16/2014 14:24:49,$56.42
29,9,3/21/2013 9:28:10,$15.94
